aten_op,input_shapes,calls,self_gpu_time_us,self_gpu_pct,avg_us_per_call
aten::cat,"[[], []]",5373,248566.3,16.54,46.26
aten::addmm,"[[768], [512, 3072], [3072, 768], [], []]",2388,147332.7,9.80,61.70
aten::linear,"[[512, 1, 768], [50257, 768], []]",199,117584.7,7.82,590.88
aten::addmm,"[[3072], [512, 768], [768, 3072], [], []]",2388,92860.8,6.18,38.89
aten::addmm,"[[2304], [512, 768], [768, 2304], [], []]",2388,71451.4,4.75,29.92
aten::mul,"[[512, 1, 3072], []]",7164,51627.7,3.44,7.21
aten::addmm,"[[768], [512, 768], [768, 768], [], []]",2388,51448.6,3.42,21.54
aten::native_layer_norm,"[[512, 1, 768], [], [768], [768], []]",4975,41721.6,2.78,8.39
aten::add,"[[512, 1, 3072], [512, 1, 3072], []]",2388,34853.2,2.32,14.60
aten::mul,"[[512, 1, 3072], [512, 1, 3072]]",2388,34811.5,2.32,14.58
aten::add,"[[512, 1, 768], [512, 1, 768], []]",4975,30582.1,2.04,6.15
aten::where,"[[50257], [], [512, 50257]]",796,27571.3,1.83,34.64
aten::clone,"[[512, 50257], []]",398,19180.0,1.28,48.19
aten::add,"[[512, 1, 3072], [], []]",2388,19170.0,1.28,8.03
aten::pow,"[[512, 1, 3072], []]",2388,18034.8,1.20,7.55
aten::tanh,"[[512, 1, 3072]]",2388,16037.1,1.07,6.72
aten::_to_copy,"[[512, 50257], [], [], [], [], [], []]",199,12231.4,0.81,61.46
aten::argmax,"[[512, 50257], [], []]",199,8240.4,0.55,41.41
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 205, 64], [512, 12, 205, 64], [], [], [], [], []]",12,3934.0,0.26,327.84
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 206, 64], [512, 12, 206, 64], [], [], [], [], []]",12,3909.1,0.26,325.76
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 207, 64], [512, 12, 207, 64], [], [], [], [], []]",12,3904.5,0.26,325.38
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 204, 64], [512, 12, 204, 64], [], [], [], [], []]",12,3888.7,0.26,324.06
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 201, 64], [512, 12, 201, 64], [], [], [], [], []]",12,3871.6,0.26,322.63
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 202, 64], [512, 12, 202, 64], [], [], [], [], []]",12,3869.7,0.26,322.48
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 203, 64], [512, 12, 203, 64], [], [], [], [], []]",12,3868.3,0.26,322.36
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 199, 64], [512, 12, 199, 64], [], [], [], [], []]",12,3823.7,0.25,318.64
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 198, 64], [512, 12, 198, 64], [], [], [], [], []]",12,3806.7,0.25,317.23
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 200, 64], [512, 12, 200, 64], [], [], [], [], []]",12,3804.0,0.25,317.00
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 197, 64], [512, 12, 197, 64], [], [], [], [], []]",12,3803.8,0.25,316.99
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 196, 64], [512, 12, 196, 64], [], [], [], [], []]",12,3759.0,0.25,313.25
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 195, 64], [512, 12, 195, 64], [], [], [], [], []]",12,3756.3,0.25,313.03
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 194, 64], [512, 12, 194, 64], [], [], [], [], []]",12,3745.5,0.25,312.13
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 193, 64], [512, 12, 193, 64], [], [], [], [], []]",12,3699.8,0.25,308.32
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 190, 64], [512, 12, 190, 64], [], [], [], [], []]",12,3647.3,0.24,303.94
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 189, 64], [512, 12, 189, 64], [], [], [], [], []]",12,3639.0,0.24,303.25
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 191, 64], [512, 12, 191, 64], [], [], [], [], []]",12,3628.8,0.24,302.40
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 192, 64], [512, 12, 192, 64], [], [], [], [], []]",12,3613.9,0.24,301.16
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 187, 64], [512, 12, 187, 64], [], [], [], [], []]",12,3601.5,0.24,300.12
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 186, 64], [512, 12, 186, 64], [], [], [], [], []]",12,3600.6,0.24,300.05
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 188, 64], [512, 12, 188, 64], [], [], [], [], []]",12,3589.8,0.24,299.15
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 185, 64], [512, 12, 185, 64], [], [], [], [], []]",12,3581.5,0.24,298.46
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 183, 64], [512, 12, 183, 64], [], [], [], [], []]",12,3544.7,0.24,295.39
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 184, 64], [512, 12, 184, 64], [], [], [], [], []]",12,3513.0,0.23,292.75
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 182, 64], [512, 12, 182, 64], [], [], [], [], []]",12,3493.4,0.23,291.11
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 181, 64], [512, 12, 181, 64], [], [], [], [], []]",12,3477.6,0.23,289.80
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 180, 64], [512, 12, 180, 64], [], [], [], [], []]",12,3434.4,0.23,286.20
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 179, 64], [512, 12, 179, 64], [], [], [], [], []]",12,3411.2,0.23,284.27
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 178, 64], [512, 12, 178, 64], [], [], [], [], []]",12,3365.4,0.22,280.45
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 177, 64], [512, 12, 177, 64], [], [], [], [], []]",12,3315.1,0.22,276.26
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 176, 64], [512, 12, 176, 64], [], [], [], [], []]",12,3230.5,0.21,269.21
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 175, 64], [512, 12, 175, 64], [], [], [], [], []]",12,3206.1,0.21,267.18
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 174, 64], [512, 12, 174, 64], [], [], [], [], []]",12,3168.0,0.21,264.00
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 172, 64], [512, 12, 172, 64], [], [], [], [], []]",12,3136.4,0.21,261.37
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 173, 64], [512, 12, 173, 64], [], [], [], [], []]",12,3116.4,0.21,259.70
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 170, 64], [512, 12, 170, 64], [], [], [], [], []]",12,3059.5,0.20,254.96
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 171, 64], [512, 12, 171, 64], [], [], [], [], []]",12,3041.5,0.20,253.46
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 169, 64], [512, 12, 169, 64], [], [], [], [], []]",12,2980.0,0.20,248.33
aten::arange,"[[], [], [], [], []]",597,2957.4,0.20,4.95
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 168, 64], [512, 12, 168, 64], [], [], [], [], []]",12,2931.3,0.20,244.27
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 167, 64], [512, 12, 167, 64], [], [], [], [], []]",12,2899.9,0.19,241.66
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 165, 64], [512, 12, 165, 64], [], [], [], [], []]",12,2869.8,0.19,239.15
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 166, 64], [512, 12, 166, 64], [], [], [], [], []]",12,2861.6,0.19,238.47
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 164, 64], [512, 12, 164, 64], [], [], [], [], []]",12,2789.8,0.19,232.48
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 163, 64], [512, 12, 163, 64], [], [], [], [], []]",12,2789.4,0.19,232.45
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 161, 64], [512, 12, 161, 64], [], [], [], [], []]",12,2758.7,0.18,229.90
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 162, 64], [512, 12, 162, 64], [], [], [], [], []]",12,2744.7,0.18,228.73
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 160, 64], [512, 12, 160, 64], [], [], [], [], []]",12,2718.0,0.18,226.50
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 158, 64], [512, 12, 158, 64], [], [], [], [], []]",12,2696.1,0.18,224.68
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 157, 64], [512, 12, 157, 64], [], [], [], [], []]",12,2688.0,0.18,224.00
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 159, 64], [512, 12, 159, 64], [], [], [], [], []]",12,2674.8,0.18,222.90
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 155, 64], [512, 12, 155, 64], [], [], [], [], []]",12,2641.4,0.18,220.11
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 156, 64], [512, 12, 156, 64], [], [], [], [], []]",12,2639.5,0.18,219.96
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 153, 64], [512, 12, 153, 64], [], [], [], [], []]",12,2629.5,0.17,219.12
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 154, 64], [512, 12, 154, 64], [], [], [], [], []]",12,2626.7,0.17,218.89
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 152, 64], [512, 12, 152, 64], [], [], [], [], []]",12,2607.9,0.17,217.33
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 151, 64], [512, 12, 151, 64], [], [], [], [], []]",12,2587.1,0.17,215.59
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 150, 64], [512, 12, 150, 64], [], [], [], [], []]",12,2574.5,0.17,214.54
aten::scaled_dot_product_attention,"[[512, 12, 1, 64], [512, 12, 149, 64], [512, 12, 149, 64], [], [], [], [], []]",12,2563.0,0.17,213.58
