aten_op,calls,self_gpu_time_us,self_gpu_pct,avg_us_per_call
aten::addmm,48,6345.1,36.15,132.19
aten::mul,53,2527.7,14.40,47.69
aten::scaled_dot_product_attention,12,2321.1,13.22,193.43
aten::add,53,2275.5,12.96,42.93
aten::cat,27,1255.6,7.15,46.50
aten::linear,1,612.0,3.49,612.03
aten::native_layer_norm,25,565.5,3.22,22.62
aten::pow,12,491.1,2.80,40.93
aten::view,148,280.8,1.60,1.90
aten::tanh,12,249.9,1.42,20.83
aten::where,4,139.2,0.79,34.80
aten::clone,3,95.9,0.55,31.95
aten::_to_copy,30,84.1,0.48,2.80
aten::argmax,1,41.3,0.24,41.33
aten::isin,6,31.5,0.18,5.25
aten::embedding,2,27.8,0.16,13.89
aten::any,4,24.6,0.14,6.14
aten::eq,3,22.4,0.13,7.45
aten::_local_scalar_dense,5,16.9,0.10,3.38
aten::arange,3,14.5,0.08,4.84
aten::sub,2,13.1,0.07,6.55
aten::bitwise_and,1,11.0,0.06,10.98
aten::bitwise_not,3,10.6,0.06,3.53
aten::bitwise_or,2,10.5,0.06,5.25
aten::full,2,10.3,0.06,5.13
aten::scalar_tensor,2,10.1,0.06,5.07
aten::all,1,9.2,0.05,9.22
aten::masked_fill,1,8.1,0.05,8.06
aten::gt,1,8.0,0.05,8.02
aten::sum,1,7.5,0.04,7.49
aten::lt,1,6.7,0.04,6.69
aten::cumsum,1,5.6,0.03,5.57
aten::ones,2,5.3,0.03,2.67
aten::max,1,4.8,0.03,4.81
aten::new_ones,1,4.7,0.03,4.73
aten::ne,1,4.5,0.03,4.49
