aten_op,input_shapes,calls,self_gpu_time_us,self_gpu_pct,avg_us_per_call
aten::scaled_dot_product_attention,"[[512, 12, 8, 64], [512, 12, 8, 64], [512, 12, 8, 64], [], [], [], [], []]",12,2321.1,13.22,193.43
aten::addmm,"[[768], [4096, 3072], [3072, 768], [], []]",12,2126.6,12.12,177.22
aten::addmm,"[[3072], [4096, 768], [768, 3072], [], []]",12,2091.7,11.92,174.31
aten::addmm,"[[2304], [4096, 768], [768, 2304], [], []]",12,1443.2,8.22,120.27
aten::mul,"[[512, 8, 3072], []]",36,1401.8,7.99,38.94
aten::cat,"[[], []]",27,1255.6,7.15,46.50
aten::mul,"[[512, 8, 3072], [512, 8, 3072]]",12,1097.2,6.25,91.43
aten::add,"[[512, 8, 3072], [512, 8, 3072], []]",12,1093.6,6.23,91.14
aten::add,"[[512, 8, 768], [512, 8, 768], []]",25,695.5,3.96,27.82
aten::addmm,"[[768], [4096, 768], [768, 768], [], []]",12,683.6,3.89,56.97
aten::linear,"[[512, 1, 768], [50257, 768], []]",1,612.0,3.49,612.03
aten::native_layer_norm,"[[512, 8, 768], [], [768], [768], []]",25,565.5,3.22,22.62
aten::pow,"[[512, 8, 3072], []]",12,491.1,2.80,40.93
aten::add,"[[512, 8, 3072], [], []]",12,466.6,2.66,38.88
aten::view,"[[512, 8, 12, 64], []]",12,280.8,1.60,23.40
aten::tanh,"[[512, 8, 3072]]",12,249.9,1.42,20.83
aten::where,"[[50257], [], [512, 50257]]",4,139.2,0.79,34.80
aten::clone,"[[512, 50257], []]",2,93.5,0.53,46.73
aten::_to_copy,"[[512, 50257], [], [], [], [], [], []]",1,61.5,0.35,61.54
aten::argmax,"[[512, 50257], [], []]",1,41.3,0.24,41.33
aten::_local_scalar_dense,[[]],5,16.9,0.10,3.38
aten::_to_copy,"[[], [], [], [], [], [], []]",3,16.8,0.10,5.59
aten::arange,"[[], [], [], [], []]",3,14.5,0.08,4.84
aten::any,[[1]],3,14.4,0.08,4.81
aten::embedding,"[[50257, 768], [512, 8], [], [], []]",1,14.3,0.08,14.27
aten::mul,"[[512, 8], []]",2,14.2,0.08,7.11
aten::embedding,"[[1024, 768], [512, 8], [], [], []]",1,13.5,0.08,13.51
aten::eq,"[[], []]",1,11.2,0.06,11.18
aten::bitwise_and,"[[512], [512]]",1,11.0,0.06,10.98
aten::isin,"[[50257], [1], [], []]",2,10.7,0.06,5.35
aten::bitwise_or,"[[512], [512]]",2,10.5,0.06,5.25
aten::full,"[[], [], [], [], [], []]",2,10.3,0.06,5.13
aten::any,"[[512, 8]]",1,10.1,0.06,10.14
aten::scalar_tensor,"[[], [], [], [], []]",2,10.1,0.06,5.07
aten::sub,"[[], [512], []]",1,10.1,0.06,10.14
aten::isin,"[[512], [1], [], []]",1,9.7,0.06,9.70
aten::all,"[[512, 8]]",1,9.2,0.05,9.22
aten::masked_fill,"[[512, 8], [512, 8], []]",1,8.1,0.05,8.06
aten::gt,"[[], []]",1,8.0,0.05,8.02
aten::isin,"[[1], [], [], []]",2,7.6,0.04,3.81
aten::sum,"[[512], []]",1,7.5,0.04,7.49
aten::lt,"[[1], []]",1,6.7,0.04,6.69
aten::eq,"[[512, 8], []]",1,6.4,0.04,6.37
aten::_to_copy,"[[512, 8], [], [], [], [], [], []]",2,5.9,0.03,2.93
aten::cumsum,"[[512, 8], [], []]",1,5.6,0.03,5.57
aten::bitwise_not,[[]],2,5.6,0.03,2.79
aten::add,"[[512, 1], [], []]",1,5.4,0.03,5.41
aten::ones,"[[], [], [], [], []]",2,5.3,0.03,2.67
aten::bitwise_not,[[512]],1,5.0,0.03,5.01
aten::add,"[[512], [512], []]",1,5.0,0.03,4.97
aten::add,"[[1, 1], [512, 1], []]",1,5.0,0.03,4.97
aten::mul,"[[512], [512]]",1,4.8,0.03,4.85
aten::mul,"[[], [512]]",1,4.8,0.03,4.81
aten::max,[[512]],1,4.8,0.03,4.81
aten::eq,"[[512], []]",1,4.8,0.03,4.81
aten::mul,"[[], []]",1,4.8,0.03,4.81
aten::new_ones,"[[512, 8], [], [], [], [], []]",1,4.7,0.03,4.73
aten::ne,"[[512, 8], []]",1,4.5,0.03,4.49
aten::add,"[[512, 8], [512, 8], []]",1,4.4,0.02,4.37
aten::isin,"[[512, 8], [], [], []]",1,3.5,0.02,3.49
aten::sub,"[[512, 8], [], []]",1,3.0,0.02,2.97
aten::clone,"[[512, 8], []]",1,2.4,0.01,2.41
