aten_op,calls,self_gpu_time_us,self_gpu_pct,avg_us_per_call
aten::cat,5373,647694.1,45.66,120.55
aten::_flash_attention_forward,2388,308915.8,21.78,129.36
aten::addmm,9552,162323.6,11.44,16.99
aten::mul,9953,57976.6,4.09,5.83
aten::add,10349,57371.0,4.04,5.54
aten::copy_,1805,32379.8,2.28,17.94
aten::native_layer_norm,4975,28993.8,2.04,5.83
aten::mm,199,24513.7,1.73,123.18
aten::where,796,22058.6,1.55,27.71
aten::tanh,2388,21956.0,1.55,9.19
aten::pow,2388,12211.7,0.86,5.11
aten::argmax,199,8592.3,0.61,43.18
aten::fill_,1597,7736.8,0.55,4.84
aten::eq,801,4528.4,0.32,5.65
aten::any,604,4329.1,0.31,7.17
aten::all,199,3595.5,0.25,18.07
aten::arange,1194,2815.4,0.20,2.36
aten::bitwise_and,199,2448.0,0.17,12.30
aten::bitwise_or,398,1920.6,0.14,4.83
aten::_local_scalar_dense,401,1540.5,0.11,3.84
aten::max,199,1392.0,0.10,6.99
aten::gather,398,1285.5,0.09,3.23
aten::sub,200,992.6,0.07,4.96
aten::bitwise_not,201,992.2,0.07,4.94
aten::sum,1,6.1,0.00,6.09
aten::lt,1,5.9,0.00,5.93
aten::ne,1,5.8,0.00,5.77
aten::masked_fill_,1,5.0,0.00,5.01
aten::cumsum,1,4.9,0.00,4.89
aten::gt,1,2.8,0.00,2.81
