aten_op,input_shapes,calls,self_gpu_time_us,self_gpu_pct,avg_us_per_call
aten::cat,"[[], []]",5373,647694.1,45.66,120.55
aten::addmm,"[[768], [512, 3072], [3072, 768], [], []]",2388,54677.5,3.85,22.90
aten::addmm,"[[3072], [512, 768], [768, 3072], [], []]",2388,41078.8,2.90,17.20
aten::mul,"[[512, 1, 3072], []]",7164,39730.7,2.80,5.55
aten::addmm,"[[2304], [512, 768], [768, 2304], [], []]",2388,37190.3,2.62,15.57
aten::addmm,"[[768], [512, 768], [768, 768], [], []]",2388,29377.0,2.07,12.30
aten::native_layer_norm,"[[512, 1, 768], [], [768], [768], []]",4975,28993.8,2.04,5.83
aten::copy_,"[[512, 50257], [512, 50257], []]",597,25948.5,1.83,43.46
aten::mm,"[[512, 768], [768, 50257]]",199,24513.7,1.73,123.18
aten::add,"[[512, 1, 768], [512, 1, 768], []]",4975,24015.0,1.69,4.83
aten::where,"[[50257], [], [512, 50257]]",796,22058.6,1.55,27.71
aten::tanh,"[[512, 1, 3072]]",2388,21956.0,1.55,9.19
aten::mul,"[[512, 1, 3072], [512, 1, 3072]]",2388,16264.6,1.15,6.81
aten::add,"[[512, 1, 3072], [], []]",2388,15490.6,1.09,6.49
aten::add,"[[512, 1, 3072], [512, 1, 3072], []]",2388,14864.2,1.05,6.22
aten::pow,"[[512, 1, 3072], []]",2388,12211.7,0.86,5.11
aten::argmax,"[[512, 50257], [], []]",199,8592.3,0.61,43.18
aten::fill_,"[[512], []]",598,2873.8,0.20,4.81
aten::any,"[[50257, 1], [], []]",398,2825.3,0.20,7.10
aten::arange,"[[], [], [], [0]]",597,2815.4,0.20,4.72
aten::_flash_attention_forward,"[[512, 1, 12, 64], [512, 207, 12, 64], [512, 207, 12, 64], [], [], [], [], [], [], [], [], [], [], [], []]",12,2584.5,0.18,215.38
aten::_flash_attention_forward,"[[512, 1, 12, 64], [512, 196, 12, 64], [512, 196, 12, 64], [], [], [], [], [], [], [], [], [], [], [], []]",12,2581.0,0.18,215.08
aten::_flash_attention_forward,"[[512, 1, 12, 64], [512, 199, 12, 64], [512, 199, 12, 64], [], [], [], [], [], [], [], [], [], [], [], []]",12,2579.9,0.18,214.99
aten::_flash_attention_forward,"[[512, 1, 12, 64], [512, 203, 12, 64], [512, 203, 12, 64], [], [], [], [], [], [], [], [], [], [], [], []]",12,2579.6,0.18,214.97
aten::_flash_attention_forward,"[[512, 1, 12, 64], [512, 201, 12, 64], [512, 201, 12, 64], [], [], [], [], [], [], [], [], [], [], [], []]",12,2579.2,0.18,214.93
aten::_flash_attention_forward,"[[512, 1, 12, 64], [512, 204, 12, 64], [512, 204, 12, 64], [], [], [], [], [], [], [], [], [], [], [], []]",12,2579.0,0.18,214.91
aten::_flash_attention_forward,"[[512, 1, 12, 64], [512, 197, 12, 64], [512, 197, 12, 64], [], [], [], [], [], [], [], [], [], [], [], []]",12,2578.7,0.18,214.89
aten::_flash_attention_forward,"[[512, 1, 12, 64], [512, 205, 12, 64], [512, 205, 12, 64], [], [], [], [], [], [], [], [], [], [], [], []]",12,2578.7,0.18,214.89
aten::_flash_attention_forward,"[[512, 1, 12, 64], [512, 198, 12, 64], [512, 198, 12, 64], [], [], [], [], [], [], [], [], [], [], [], []]",12,2578.3,0.18,214.86
aten::_flash_attention_forward,"[[512, 1, 12, 64], [512, 206, 12, 64], [512, 206, 12, 64], [], [], [], [], [], [], [], [], [], [], [], []]",12,2578.0,0.18,214.83
aten::_flash_attention_forward,"[[512, 1, 12, 64], [512, 195, 12, 64], [512, 195, 12, 64], [], [], [], [], [], [], [], [], [], [], [], []]",12,2577.4,0.18,214.78
aten::_flash_attention_forward,"[[512, 1, 12, 64], [512, 202, 12, 64], [512, 202, 12, 64], [], [], [], [], [], [], [], [], [], [], [], []]",12,2575.8,0.18,214.65
aten::_flash_attention_forward,"[[512, 1, 12, 64], [512, 194, 12, 64], [512, 194, 12, 64], [], [], [], [], [], [], [], [], [], [], [], []]",12,2575.8,0.18,214.65
aten::_flash_attention_forward,"[[512, 1, 12, 64], [512, 200, 12, 64], [512, 200, 12, 64], [], [], [], [], [], [], [], [], [], [], [], []]",12,2574.8,0.18,214.57
aten::_flash_attention_forward,"[[512, 1, 12, 64], [512, 193, 12, 64], [512, 193, 12, 64], [], [], [], [], [], [], [], [], [], [], [], []]",12,2572.4,0.18,214.37
aten::bitwise_and,"[[512], [512]]",199,2448.0,0.17,12.30
aten::eq,"[[50257, 1], [1, 1]]",398,2339.0,0.16,5.88
aten::_flash_attention_forward,"[[512, 1, 12, 64], [512, 191, 12, 64], [512, 191, 12, 64], [], [], [], [], [], [], [], [], [], [], [], []]",12,2060.6,0.15,171.72
aten::_flash_attention_forward,"[[512, 1, 12, 64], [512, 189, 12, 64], [512, 189, 12, 64], [], [], [], [], [], [], [], [], [], [], [], []]",12,2058.2,0.15,171.52
aten::_flash_attention_forward,"[[512, 1, 12, 64], [512, 188, 12, 64], [512, 188, 12, 64], [], [], [], [], [], [], [], [], [], [], [], []]",12,2057.2,0.15,171.44
aten::_flash_attention_forward,"[[512, 1, 12, 64], [512, 187, 12, 64], [512, 187, 12, 64], [], [], [], [], [], [], [], [], [], [], [], []]",12,2057.0,0.15,171.42
aten::_flash_attention_forward,"[[512, 1, 12, 64], [512, 190, 12, 64], [512, 190, 12, 64], [], [], [], [], [], [], [], [], [], [], [], []]",12,2056.4,0.14,171.37
aten::_flash_attention_forward,"[[512, 1, 12, 64], [512, 184, 12, 64], [512, 184, 12, 64], [], [], [], [], [], [], [], [], [], [], [], []]",12,2056.3,0.14,171.36
