aten_op,calls,self_gpu_time_us,self_gpu_pct,avg_us_per_call
aten::_flash_attention_forward,12,3275.5,37.89,272.96
aten::addmm,48,1914.6,22.15,39.89
aten::mul,53,732.0,8.47,13.81
aten::add,53,629.9,7.29,11.88
aten::cat,27,458.9,5.31,17.00
aten::native_layer_norm,25,349.5,4.04,13.98
aten::tanh,12,278.2,3.22,23.19
aten::copy_,46,215.3,2.49,4.68
aten::pow,12,169.1,1.96,14.09
aten::fill_,25,124.6,1.44,4.98
aten::mm,1,124.0,1.44,124.04
aten::where,4,108.9,1.26,27.23
aten::argmax,1,44.4,0.51,44.42
aten::eq,9,42.0,0.49,4.66
aten::any,10,38.5,0.45,3.85
aten::_local_scalar_dense,5,18.5,0.21,3.70
aten::arange,6,14.9,0.17,2.48
aten::bitwise_not,3,13.5,0.16,4.49
aten::gather,2,12.6,0.15,6.31
aten::bitwise_and,1,12.4,0.14,12.43
aten::all,1,11.2,0.13,11.18
aten::bitwise_or,2,9.9,0.11,4.95
aten::sub,2,8.7,0.10,4.33
aten::max,1,7.8,0.09,7.82
aten::sum,1,7.3,0.08,7.34
aten::cumsum,1,5.3,0.06,5.29
aten::lt,1,5.2,0.06,5.21
aten::masked_fill_,1,4.2,0.05,4.25
aten::ne,1,4.0,0.05,4.01
aten::gt,1,2.7,0.03,2.68
