aten_op,input_shapes,calls,self_gpu_time_us,self_gpu_pct,avg_us_per_call
aten::_flash_attention_forward,"[[512, 8, 12, 64], [512, 8, 12, 64], [512, 8, 12, 64], [], [], [], [], [], [], [], [], [], [], [], []]",12,3275.5,37.89,272.96
aten::addmm,"[[3072], [4096, 768], [768, 3072], [], []]",12,612.5,7.09,51.05
aten::addmm,"[[768], [4096, 3072], [3072, 768], [], []]",12,605.2,7.00,50.44
aten::mul,"[[512, 8, 3072], []]",36,476.2,5.51,13.23
aten::cat,"[[], []]",27,458.9,5.31,17.00
aten::addmm,"[[2304], [4096, 768], [768, 2304], [], []]",12,435.2,5.03,36.26
aten::native_layer_norm,"[[512, 8, 768], [], [768], [768], []]",25,349.5,4.04,13.98
aten::tanh,"[[512, 8, 3072]]",12,278.2,3.22,23.19
aten::addmm,"[[768], [4096, 768], [768, 768], [], []]",12,261.7,3.03,21.81
aten::mul,"[[512, 8, 3072], [512, 8, 3072]]",12,218.4,2.53,18.20
aten::add,"[[512, 8, 768], [512, 8, 768], []]",25,212.0,2.45,8.48
aten::add,"[[512, 8, 3072], [512, 8, 3072], []]",12,208.5,2.41,17.38
aten::add,"[[512, 8, 3072], [], []]",12,189.9,2.20,15.82
aten::pow,"[[512, 8, 3072], []]",12,169.1,1.96,14.09
aten::copy_,"[[512, 50257], [512, 50257], []]",3,131.3,1.52,43.77
aten::mm,"[[512, 768], [768, 50257]]",1,124.0,1.44,124.04
aten::where,"[[50257], [], [512, 50257]]",4,108.9,1.26,27.23
aten::fill_,"[[1], []]",14,75.4,0.87,5.39
aten::argmax,"[[512, 50257], [], []]",1,44.4,0.51,44.42
aten::copy_,"[[512, 8], [512, 8], []]",5,27.7,0.32,5.54
aten::copy_,"[[], [], []]",6,24.7,0.29,4.12
aten::mul,"[[512, 8], []]",2,22.0,0.26,11.02
aten::_local_scalar_dense,[[]],5,18.5,0.21,3.70
aten::fill_,"[[512], []]",4,17.0,0.20,4.25
aten::copy_,"[[512], [512], []]",2,15.4,0.18,7.68
aten::any,"[[50257, 1], [], []]",2,14.9,0.17,7.46
aten::arange,"[[], [], [], [0]]",3,14.9,0.17,4.96
aten::bitwise_and,"[[512], [512]]",1,12.4,0.14,12.43
aten::eq,"[[50257, 1], [1, 1]]",2,11.3,0.13,5.65
aten::all,"[[512, 8]]",1,11.2,0.13,11.18
aten::fill_,"[[50257], []]",2,10.2,0.12,5.09
aten::copy_,"[[50257], [50257], []]",2,10.0,0.12,5.01
aten::fill_,"[[], []]",2,9.9,0.11,4.97
aten::bitwise_or,"[[512], [512]]",2,9.9,0.11,4.95
aten::bitwise_not,[[]],2,8.6,0.10,4.31
aten::any,"[[512, 8]]",1,8.3,0.10,8.30
aten::max,[[512]],1,7.8,0.09,7.82
aten::any,"[[512, 1], [], []]",1,7.7,0.09,7.74
aten::any,"[[512, 8, 1], [], []]",1,7.6,0.09,7.58
aten::sum,"[[512], []]",1,7.3,0.08,7.34
aten::fill_,"[[512, 8], []]",2,7.2,0.08,3.59
aten::gather,"[[50257, 768], [], [4096, 768], [], [4096, 768]]",1,6.4,0.07,6.37
aten::gather,"[[1024, 768], [], [4096, 768], [], [4096, 768]]",1,6.3,0.07,6.25
aten::copy_,"[[1], [1], []]",4,6.2,0.07,1.56
aten::eq,"[[512], []]",1,6.0,0.07,5.97
aten::eq,"[[], []]",1,5.9,0.07,5.85
aten::add,"[[512, 1], [], []]",1,5.8,0.07,5.77
aten::mul,"[[], []]",1,5.5,0.06,5.53
aten::eq,"[[1, 1], [1, 1]]",2,5.5,0.06,2.77
aten::cumsum,"[[512, 8], [], []]",1,5.3,0.06,5.29
aten::lt,"[[1], []]",1,5.2,0.06,5.21
aten::eq,"[[512, 8, 1], [1, 1, 1]]",1,5.2,0.06,5.21
aten::sub,"[[], [512], []]",1,5.0,0.06,5.01
aten::eq,"[[512, 1], [1, 1]]",1,5.0,0.06,5.01
aten::mul,"[[], [512]]",1,5.0,0.06,4.97
aten::add,"[[1, 1], [512, 1], []]",1,4.9,0.06,4.93
aten::fill_,"[[512, 1], []]",1,4.9,0.06,4.89
aten::mul,"[[512], [512]]",1,4.9,0.06,4.89
aten::bitwise_not,[[512]],1,4.9,0.06,4.85
aten::add,"[[512], [512], []]",1,4.8,0.06,4.81
aten::masked_fill_,"[[512, 8], [512, 8], []]",1,4.2,0.05,4.25
aten::ne,"[[512, 8], []]",1,4.0,0.05,4.01
aten::add,"[[512, 8], [512, 8], []]",1,4.0,0.05,3.97
aten::sub,"[[512, 8], [], []]",1,3.6,0.04,3.65
aten::eq,"[[512, 8], []]",1,3.1,0.04,3.09
aten::gt,"[[], []]",1,2.7,0.03,2.68
