case,phase,op,m,n,k,calls,a_strides,b_strides,transpose_b,bias,profile_mojo_us,profile_rocm_us,mojo_median_us,mojo_p10_us,mojo_p90_us,rocm_median_us,rocm_p10_us,rocm_p90_us,mojo_over_rocm,mojo_tflops,rocm_tflops,mojo_hbm_gbps,rocm_hbm_gbps,roofline_bound,roofline_us,compute_bound_us,bandwidth_bound_us,rocm_bf16_max_abs_error,mojo_bf16_max_abs_error,mojo_error_limit,correctness_pass,acceptance_pass
decode_addmm_m512_n768_k768_nn,decode,addmm,512,768,768,2388,"(768, 1)","(768, 1)",False,True,223.30,12.35,35.982,35.532,37.700,33.412,32.937,36.634,1.077,16.786,18.077,76.497,82.381,bandwidth,0.519,0.465,0.519,0.47682953,0.62382507,0.95365906,True,True
decode_addmm_m512_n768_k3072_nn,decode,addmm,512,768,3072,2388,"(3072, 1)","(768, 1)",False,True,866.12,22.96,72.496,72.033,75.103,42.131,41.777,46.386,1.721,33.325,57.343,119.326,205.330,compute,1.858,1.858,1.632,1.0728455,1.2539978,2.1456909,True,False
decode_addmm_m512_n2304_k768_nn,decode,addmm,512,2304,768,2388,"(768, 1)","(2304, 1)",False,True,224.58,15.53,44.328,43.895,47.193,36.270,35.449,38.378,1.222,40.876,49.958,150.802,184.306,compute,1.394,1.394,1.261,0.46569824,0.61270142,0.93139648,True,False
decode_addmm_m512_n3072_k768_nn,decode,addmm,512,3072,768,2388,"(768, 1)","(3072, 1)",False,True,231.25,16.95,54.380,53.974,55.404,39.400,38.092,40.510,1.380,44.427,61.319,159.081,219.565,compute,1.858,1.858,1.632,0.52495575,0.71807861,1.0499115,True,False
decode_linear_m512_n50257_k768_tb,decode,linear,512,50257,768,199,"(768, 1)","(768, 1)",True,False,1139.87,120.21,601.118,598.366,604.768,136.053,134.629,140.387,4.418,65.750,290.501,215.339,951.422,compute,30.403,30.403,24.423,0.60641479,0.60641479,1.2128296,True,False
prefill_addmm_m4096_n768_k768_nn,prefill,addmm,4096,768,768,12,"(768, 1)","(768, 1)",False,True,441.11,21.79,70.458,69.942,73.454,41.578,41.256,42.519,1.695,68.577,116.210,195.329,331.002,compute,3.717,3.717,2.597,0.53587341,0.68723297,1.0717468,True,False
prefill_addmm_m4096_n768_k3072_nn,prefill,addmm,4096,768,3072,12,"(3072, 1)","(768, 1)",False,True,1754.08,50.32,187.546,186.595,190.463,73.031,71.445,74.971,2.568,103.054,264.646,192.891,495.350,compute,14.867,14.867,6.826,0.94522095,1.5394897,1.8904419,True,False
prefill_addmm_m4096_n2304_k768_nn,prefill,addmm,4096,2304,768,12,"(768, 1)","(2304, 1)",False,True,483.22,36.05,135.534,134.961,138.094,60.066,59.550,63.544,2.256,106.952,241.326,211.791,477.887,compute,11.150,11.150,5.416,0.52125549,0.99937439,1.042511,True,False
prefill_addmm_m4096_n3072_k768_nn,prefill,addmm,4096,3072,768,12,"(768, 1)","(3072, 1)",False,True,621.11,50.87,190.946,189.810,193.344,72.358,71.287,77.894,2.639,101.219,267.109,189.456,499.960,compute,14.867,14.867,6.826,0.54129028,0.87451172,1.0825806,True,False
prefill_linear_m512_n50257_k768_tb,prefill,linear,512,50257,768,1,"(768, 1)","(768, 1)",True,False,1149.74,119.51,601.587,598.930,605.277,135.941,134.956,140.159,4.425,65.699,290.742,215.172,952.210,compute,30.403,30.403,24.423,0.60641479,0.60641479,1.2128296,True,False
